sumario,materia,voces,texto,fallo
19841,DERECHO DEL TRABAJO,DERECHO LABORAL - PRINCIPIOS LABORALES - PRINCIPIO PROTECTORIO - IN DUBIO PRO OPERARIO - PRIMACIA DE LA REALIDAD - CONDICIONES MAS FAVORABLES - DISCRIMINACION SALARIAL - EMPLEADOS ESTATALES,"El alcance del principio protectorio consagrado en el art.14 bis de la Constitución Nacional y sus reglas: in dubio pro operario, de la selección de la norma más beneficiosa, subsistencia de la condición más favorable y de la no discriminación, principios que han sido reafirmados y enriquecidos a través de las normas sobre derechos humanos que tutelan al trabajador que se encuentran contenidas en instrumentos internacionales, luego de la reforma constitucional de 1994, tienen carácter operativo y deben ser aplicadas en cada caso concreto, aún en materia de empleo público ya que no puede marginarse a los trabajadores estatales negándoles esta protección constitucional.",10000000799
19842,DERECHO DEL TRABAJO,DERECHO LABORAL - RECLAMO SALARIAL - DIFERENCIAS SALARIALES - REESCALAFONAMIENTO,"Resulta arbitraria e ilegítima la desestimación del pago de la categorización basándose en la inexistencia de vacantes, cuando ello se debe a la inoperancia de la Administración que debe considerar la necesidad de crear los puestos imprescindibles para acompañar los cambios estructurales efectuados, previendo su costo a fin de presupuestarlo oportunamente. Imprevisión que no puede - bajo ningún concepto - perjudicar a quienes con su trabajo permitieron el normal funcionamiento y plena operatividad de las nuevas instalaciones.",10000000799
19843,DERECHO DEL TRABAJO,DERECHO LABORAL - ENRIQUECIMIENTO SIN CAUSA - NORMAS OPERATIVAS - CONTRATO LABORAL - PROCEDENCIA - EXCEPCION,"Se torna aplicable el principio del enriquecimiento sin causa (el que, aunque sea oriundo del Derecho Privado, también es operativo en la esfera del Derecho Público) en tanto el Casino estatal se benefició con los servicios prestados por el actor en una situación irregular creada por la propia Administración que puso en funcionamiento una cantidad de salas de juego a sabiendas que no tenía previsto el personal que se encargaría de ponerla en actividad. Esta circunstancia avala la excepción, apartándose de la jurisprudencia del Tribunal respecto a que no procede la aplicación del principio del enriquecimiento sin causa si la relación entre las partes está regida por un contrato que tiene su propia regulación.",10000000799
19854,DERECHO DEL TRABAJO,DERECHO LABORAL - DESPIDO POR JUSTA CAUSA - INJURIA LABORAL - HURTO - RECURSO DE CASACION - IMPROCEDENCIA - DEBERES Y FACULTADES DEL JUEZ - JUECES DE GRADO,"En lo relativo a determinar y conceptualizar si hubo injuria laboral, el grado de la gravedad y si ella era o no suficiente para autorizar el despido, refiere a un examen de cuestiones de hecho en las que los jueces de instancias ordinarias son soberanos en su apreciación, y por ende excluidas del conocimiento y decisión de la Corte por vía de casación.",10000000807
19831,DERECHO DEL TRABAJO,DERECHO LABORAL - JORNADA DE TRABAJO - HORAS EXTRA - PRUEBA - CARGA PROBATORIA - CARGA DE LA PRUEBA,"Las horas extras deben ser interpretadas en forma restrictiva y requieren una actividad probatoria por parte de quien las reclama. Ello, en razón de que no rige respecto de las mismas la presunción prevista para la jornada legal, razón por la cual su existencia y habitualidad deberá ser acreditada por quien las reclama.",10000000793
19826,DERECHO DEL TRABAJO,ART - ASEGURADOR POR RIESGOS DEL TRABAJO - FONDO DE RESERVA DE LA LEY SOBRE RIESGOS DEL TRABAJO - CREACION - OBLIGACIONES - LIQUIDACION DE LA ASEGURADORA DE RIESGOS DEL TRABAJO,"En el caso de liquidación de una ART y la creación del FONDO DE RESERVA - para atender prestaciones no cumplidas por la A.R.T. liquidada - , y del plexo normativo que en su consecuencia existen, queda claro que las obligaciones emergentes de de la LRT no desaparecen por encontrarse en liquidación la ART, al contrario salen a escena otros sujetos con capacidad legal - adquirir derechos y contraer obligaciones - , que deben hacer frente y solucionar cada caso particular en el mismo marco y con los idénticos fines que pretende la ART.",10000000790
22418,DERECHO PROCESAL DEL TRABAJO,JURISDICCION Y COMPETENCIA - OPCION DE COMPETENCIA - IMPRORROGABILIDAD DE LA COMPETENCIA - ORDEN PUBLICO LABORAL,"La posibilidad de seleccionar la jurisdicción sin respeto del orden público laboral, contraría la expresa manda del artículo 5&deg; del CPL según la cual la competencia de los tribunales del trabajador es improrrogable e indelegable, salvo las excepciones dispuestas por la ley; improrrogabilidad que ha sido fuertemente defendida por este Tribunal, puesto que se encuentra comprometido el orden público.",10000001887
22419,DERECHO PROCESAL LABORAL,CUESTIONES DE COMPETENCIA - OPCION DE COMPETENCIA - RAZONABILIDAD,"Sin perder de vista que el valor en juego es el debido proceso, el foro será o no apropiado cuando exista un contacto razonable entre el caso y el foro. De no haberlo, la jurisdicción sería abusiva o exorbitante, esto es, ejercida sin contactos razonables, siquiera mínimos, que la sustenten.",10000001887
22420,DERECHO PROCESAL LABORAL,COMPETENCIA - DOMICILIO DEL DEMANDADO - SOCIEDAD ANONIMA - LEY APLICABLE,"En el caso específico de las Aseguradoras de Riesgos del Trabajo, por tratarse de sociedades anónimas, el domicilio es el que fijen en el contrato constitutivo o modificatoria que debe estar inscripto en el Registro Público de Comercio (apartado 2, art. 11 y art. 5 <a href='http://www.infojus.gob.ar/19550-nacional-ley-general-sociedades-n-19550-to-1984-lns0000745-1984-03-20/123456789-0abc-defg-g54-70000scanyel' target='_blank' title='ley general de sociedades'>ley 19.550</a>); en cuanto a las sucursales, las mismas deben ser inscriptas en el registro de cada jurisdicción (art. 5 y 77), situación que ha sido precisada, en Mendoza, a través de la Resolución 
944/2005 de la Dirección de Personas Jurídicas. (B.O.14/06/2005).",10000001887
22421,DERECHO PROCESAL LABORAL,COMPETENCIA LABORAL - COMPETENCIA TERRITORIAL - INCOMPETENCIA - DECLARACION DE OFICIO - PRORROGA TACITA DE LA COMPETENCIA,"Si bien el artículo 6 del Código Procesal Laboral no ha autorizado expresamente a los Tribunales del Trabajo para declararse incompetentes de oficio por razón del territorio, tampoco lo ha prohibido. Por el contrario, lo que sí se encuentra expresamente vedado es la prórroga (arg. Art. 5 CPL). Es decir, el acuerdo expreso entre la Aseguradora de Riesgos del Trabajo y el trabajador de prorrogar la competencia territorial. Luego si tal convención expresa es nula (arg. Art. 5 C.P.L. y Art. 953 del Código Civil), lo mismo ocurre si tal acuerdo se da en forma tácita, es decir por no ser opuesta por la ART dentro del trámite del proceso.",10000001887
19888,DERECHO DEL TRABAJO,DEBERES DEL EMPLEADOR - OBLIGACIONES DEL EMPLEADOR - ASEGURADORA DE RIESGOS DEL TRABAJO - INCUMPLIMIENTO CONTRACTUAL,"El incumplimiento de la obligación legal de contratar una A.R.T., le acarrea al empleador demandado la obligación de cumplir en forma directa ante los beneficiarios por las prestaciones previstas en la ley de riesgos - artículo 3 inciso 3 ley de Riesgos del Trabajo.",10000000822
19889,DERECHO DEL TRABAJO,DEBERES DEL EMPLEADOR - OBLIGACIONES DEL EMPLEADOR - ASEGURADORA DE RIESGOS DEL TRABAJO - REGIMEN LEGAL,"A los Entes Públicos al igual que sucede con los privados, la ley - art 3 inc. 4 LRT - , les permite auto asegurarse, pero aún cuando de la letra de la norma parece surgir que estos no deben acreditar los extremos del inc. 3 - solvencia económica y financiera - , lo cierto es que el Decreto 719/96 establece que desde la fecha estipulada 01 de enero de 1997 las provincias y sus organismos descentralizados y los autárquicos, municipios, etc, deberán adecuarse a los requisitos estipulados para los empleadores privados que opten por el autoseguro.",10000000822
19890,DERECHO DEL TRABAJO,ACCIDENTES DE TRABAJO - ACCION CIVIL - REGIMEN LEGAL - DELITO CIVIL - PROCEDENCIA,"Lo que abre la acción civil sin necesidad de la declaración de inconstitucionalidad del art. 39 apartado I es la comisión de un delito civil - art. 1072 CC - , esto unido al objetivo preventivo de la misma ley de Riesgos del Trabajo, ley de Higiene y Seguridad - ley 19.587 y modificaciones y reglamentos - el art. 75 de la LCT entre otras disposiciones que hacen a la protección del trabajo y la salubridad.",10000000822
19891,DERECHO DEL TRABAJO,DEBERES DEL EMPLEADOR - HIGIENE Y SEGURIDAD DEL TRABAJO - IGUALDAD DE TRATO - REGIMEN LEGAL,"El empleador debe velar irrestrictamente por la integridad psicofísica de sus dependientes mientras se encuentren dentro del establecimiento y/o cumpliendo sus tareas, obligaciones que emanan del deber genérico de seguridad y del principio de indemnidad; como así también debe preservar la dignidad del trabajador cuyo fundamento no es otro que el dispositivo constitucional que le garantiza - condiciones dignas y equitativas de labor art. 14 bis. Constitución Nacional - . Es decir, el principal no sólo se encuentra legitimado para tomar medidas en resguardo de la integridad de sus dependientes sino que ello constituye una exigencia derivada del principio de buena fe exigible al buen empleador - art. 62 y 63 LCT.",10000000822
19884,DERECHO DEL TRABAJO,EXTINCION DEL CONTRATO DE TRABAJO - DESPIDO - COMUNICACION DEL DESPIDO,"El despido puede manifestarse en forma verbal o escrita e inclusive surgir de un comportamiento inequívoco de alguna de las partes, siendo la forma escrita el requisito excluyente para otorgar el preaviso e invocar la existencia de alguna causa de despido, es decir que en principio se presenta como informal - art. 234 y 243 de la ley de Contrato de Trabajo.",10000000821
19885,DERECHO DEL TRABAJO,CONTRATO DE TRABAJO - DESPIDO - NOTIFICACION AL TRABAJADOR,"Si el empleador no pretende justificar su decisión rupturista, la ley no le exige formalidad alguna, requiriéndose que aquella manifestación verbal o escrita debe llegar a conocimiento del obrero - entre en su esfera de conocimiento - .",10000000821
19886,DERECHO DEL TRABAJO,CONTRATO DE TRABAJO - TRABAJADOR - CONSERVACION DEL EMPLEO - NOTIFICACION AL EMPLEADOR,"El principio consagrado por el artículo 10 de la ley de Contrato de Trabajo que privilegia la continuidad de la relación laboral es aplicable al supuesto del empleador injuriado que emplaza al trabajador a enmendarse, bajo apercibimiento de despido. En virtud de este artículo es imprescindible a los fines rupturistas una segunda comunicación escrita reiterativa de la anterior.",10000000821
19887,DERECHO DEL TRABAJO,DERECHO LABORAL - EXTINCION DEL CONTRATO DE TRABAJO - DESPIDO - TRABAJADOR - COMUNICACION DEL DESPIDO,"Es suficiente la intimación rupturista por parte del trabajador hacia su empleador, y frente al silencio del patrón se consuma la ruptura laboral y es superabundante exigirle al obrero otra comunicación escrita reiterativa de la anterior.",10000000821
20314,DERECHO PROCESAL LABORAL,RECURSO DE INCONSTITUCIONALIDAD - SENTENCIA ARBITRARIA - DERECHO DE DEFENSA - VIOLACION,"Dentro de inconstitucionalidad de la sentencia pronunciada en violación del derecho de defensa, la interpretación debe quedar limitada a las situaciones excepcionales de clara denegación del mentado derecho, o bien, cuando cabe asimilar la omisión arbitraria del examen de prueba fundamental, a la denegación de ofrecer y producir en el proceso una prueba decisiva y procedente, o por último, cuando la prueba es interpretada de modo tal que decide el contenido mismo de una disposición legal.",10000001051
